Flask	Experiment	Marker	Replicate	t0	t1	t2	t3
154	Y_4_t1000 vs Y	Kan	1	NA	-1.430746124	-1.297815632	-1.289352416
155	Y_5_t1000 vs Y	Kan	1	NA	-1.038353097	-1.731655545	-1.297463147
156	Y_6_t1000 vs Y	Kan	1	NA	-1.06839851	-1.268511325	-2.137505343
157	Y_7_t1000 vs Y	Kan	1	NA	-1.365240952	-1.394878105	-0.970357953
158	Y_8_t1000 vs Y	Kan	1	NA	-0.467190688	-0.164755233	0.328115642
159	Y_9_t1000 vs Y	Kan	1	NA	-1.460827413	-1.138221427	-0.770924882
160	Y_10_t1000 vs Y	Kan	1	NA	-0.674455048	-0.384073918	-0.191055237
161	P_1_t1000 vs P	Kan	1	-1.833870955	8.469402528	11.53443167	14.17667541
162	P_2_t1000 vs P	Kan	1	-2.559807958	7.369915731	10.36994717	11.98292909
163	P_3_t1000 vs P	Kan	1	-2.559807958	7.418580903	9.253306408	10.93756132
164	P_4_t1000 vs P	Kan	1	-1.935653649	9.873028345	11.85828665	NA
165	P_5_t1000 vs P	Kan	1	-2.089804329	8.74299986	10.33276331	13.40754232
166	P_6_t1000 vs P	Kan	1	-2.009761621	9.994241916	12.4292162	14.45208739
167	P_7_t1000 vs P	Kan	1	-2.176815706	8.970389702	12.09024083	NA
168	P_8_t1000 vs P	Kan	1	-2.377486401	8.737666514	11.29440086	NA
169	P_9_t1000 vs P	Kan	1	-2.495269437	8.5754621	9.691729323	12.38196331
170	P_10_t1000 vs P	Kan	1	-1.900562329	8.874867636	11.10746036	13.55414579
171	A_1_t1000 vs A	Kan	1	-2.137505343	-0.030771659	2.084454084	5.042240634
172	A_2_t1000 vs A	Kan	1	-1.341173926	3.135494216	6.103382463	9.98506754
173	A_3_t1000 vs A	Kan	1	-2.328560579	1.098612289	3.79423997	6.825241179
174	A_4_t1000 vs A	Kan	1	-2.054123734	2.206840036	4.882625727	7.728082023
175	A_5_t1000 vs A	Kan	1	-2.875104286	0.905708623	3.470897717	6.413636488
176	A_6_t1000 vs A	Kan	1	-2.054123734	1.256241233	4.203010866	7.382893173
177	A_7_t1000 vs A	Kan	1	-2.788092909	1.110446746	4.362224007	8.194520045
178	A_8_t1000 vs A	Kan	1	-2.328560579	2.025952857	4.073866031	7.27651902
179	A_9_t1000 vs A	Kan	1	-2.228477121	2.061423036	4.95347688	7.87346137
180	A_10_t1000 vs A	Kan	1	-2.788092909	1.363304843	3.69858154	7.346175059
181	E_1_t1000 vs E	Kan	2	NA	-0.595508711	-0.058107631	0.310719741
182	E_2_t1000 vs E	Kan	2	NA	-0.885690291	-0.728653869	-0.093090423
183	E_3_t1000 vs E	Kan	2	NA	-1.144334538	-0.641853886	-0.413012314
184	E_4_t1000 vs E	Kan	2	NA	-1.065275868	-0.475423697	-0.194705616
185	E_5_t1000 vs E	Kan	2	NA	-1.08180517	-0.349985956	0.075349437
186	E_6_t1000 vs E	Kan	2	NA	-0.726372828	-0.472906389	-0.466619531
187	E_7_t1000 vs E	Kan	2	NA	-1.280933845	-0.483796951	-0.609765572
188	E_8_t1000 vs E	Kan	2	NA	-0.440150666	-0.016129382	-0.074107972
189	E_9_t1000 vs E	Kan	2	NA	-1.187165686	-1.348073148	-0.86189666
190	E_10_t1000 vs E	Kan	2	NA	-0.443492504	-0.790645545	-0.411507423
191	S_1_t1000 vs S	Kan	2	NA	-1.316184795	-1.018944886	-0.911628719
192	S_2_t1000 vs S	Kan	2	NA	-0.758744463	-1.252762968	-0.999405639
193	S_3_t1000 vs S	Kan	2	NA	-0.719464489	-0.711496319	0.006825965
194	S_4_t1000 vs S	Kan	2	NA	-0.529079064	-0.535057937	-0.501069449
195	S_5_t1000 vs S	Kan	2	NA	-1.594324275	-1.734601055	-1.31661444
196	S_6_t1000 vs S	Kan	2	NA	-0.728653869	-1.020360092	-1.088759992
197	S_7_t1000 vs S	Kan	2	NA	-1.31885308	-0.719464489	-0.486352767
198	S_8_t1000 vs S	Kan	2	NA	-2.053054787	-1.369855635	-1.069198403
199	S_9_t1000 vs S	Kan	2	NA	-1.965203352	-2.923161581	-1.546637011
200	S_10_t1000 vs S	Kan	2	NA	-0.450833713	-0.037740328	0.134656885
201	V_1_t1000 vs V	Kan	2	NA	0.70484322	3.045431942	4.743002661
202	V_2_t1000 vs V	Kan	2	NA	0.769911197	2.567498057	3.569221634
203	V_3_t1000 vs V	Kan	2	NA	0.860201265	2.75381862	4.027258269
204	V_4_t1000 vs V	Kan	2	NA	0.622529613	3.018646533	3.912023005
205	V_5_t1000 vs V	Kan	2	NA	0.969400557	2.715631739	4.115621961
206	V_6_t1000 vs V	Kan	2	NA	1.089562453	3.80079737	5.901201135
207	V_7_t1000 vs V	Kan	2	NA	1.620910314	3.955942239	5.724401762
208	V_8_t1000 vs V	Kan	2	NA	0.944461609	2.999855991	4.837573063
209	V_9_t1000 vs V	Kan	2	NA	1.21302264	3.016638958	4.781060852
210	V_10_t1000 vs V	Kan	2	NA	0.880663554	2.956253463	4.761223816
211	Y_1_t1000 vs Y	Kan	2	NA	-0.778669354	-0.517758061	-0.122602322
212	Y_2_t1000 vs Y	Kan	2	NA	-0.967276287	-1.12134054	-1.119889687
213	Y_3_t1000 vs Y	Kan	2	NA	-1.368698599	-0.895384047	-0.745790914
214	Y_4_t1000 vs Y	Kan	2	NA	-1.380723316	-1.207415149	-1.063520969
215	Y_5_t1000 vs Y	Kan	2	NA	-1.435084525	-0.804738246	-0.703958097
216	Y_6_t1000 vs Y	Kan	2	NA	-1.285198244	-0.784118959	-0.94260804
217	Y_7_t1000 vs Y	Kan	2	NA	-1.418382676	-0.56710646	-0.807922695
218	Y_8_t1000 vs Y	Kan	2	NA	-0.548121409	0.226416877	0.409784769
219	Y_9_t1000 vs Y	Kan	2	NA	-1.654558348	-0.871130336	-0.552447298
220	Y_10_t1000 vs Y	Kan	2	NA	-0.547115625	-0.223143551	0.075793839
221	P_1_t1000 vs P	Kan	2	-1.833870955	8.35970361	12.57745395	14.66566149
222	P_2_t1000 vs P	Kan	2	-2.559807958	7.764531883	12.0740869	12.458775
223	P_3_t1000 vs P	Kan	2	-2.559807958	6.880463137	10.80466684	10.65819263
224	P_4_t1000 vs P	Kan	2	-1.935653649	9.775654181	15.50011828	NA
225	P_5_t1000 vs P	Kan	2	-2.089804329	7.60090246	11.39708516	11.79343905
226	P_6_t1000 vs P	Kan	2	-2.009761621	8.732304571	13.00165951	12.40218752
227	P_7_t1000 vs P	Kan	2	-2.176815706	7.980099641	12.62632565	14.05058268
228	P_8_t1000 vs P	Kan	2	-2.377486401	7.792440671	12.36241106	13.74830181
229	P_9_t1000 vs P	Kan	2	-2.495269437	6.725433722	10.7858657	12.13196467
230	P_10_t1000 vs P	Kan	2	-1.900562329	8.223780444	13.03228889	14.86282955
231	A_1_t1000 vs A	Kan	2	-2.137505343	-0.519875459	1.780010577	NA
232	A_2_t1000 vs A	Kan	2	-1.341173926	3.158932789	6.59409772	10.74767499
233	A_3_t1000 vs A	Kan	2	-2.328560579	0.892480083	3.781310899	NA
234	A_4_t1000 vs A	Kan	2	-2.054123734	1.395684101	4.342034416	NA
235	A_5_t1000 vs A	Kan	2	-2.875104286	0.253602759	3.256764093	NA
236	A_6_t1000 vs A	Kan	2	-2.054123734	0.664976304	3.398034967	NA
237	A_7_t1000 vs A	Kan	2	-2.788092909	1.977162693	4.698388315	NA
238	A_8_t1000 vs A	Kan	2	-2.328560579	1.6405285	4.393861092	NA
239	A_9_t1000 vs A	Kan	2	-2.228477121	0.963793066	4.30890437	NA
240	A_10_t1000 vs A	Kan	2	-2.788092909	0.252835341	4.140557405	NA
