Name	Fitness	stderror	variance
203	0.119172394522713	0.0134733412071585	0.000363061846569028
V_3_t1000 vs V_allFlasks_averaged	0.145280395708404	0.00216975119255975	1.41234607128434e-05
24	0.100714737779821	0.00360596921113047	2.60060279032418e-05
84	0.144069282380487	0.0080118689299001	0.000128380087499797
144	0.144559887107154	0.0220909007634079	0.00097601579307747
204	0.123779522691307	0.0326469890900949	0.00213165179329755
V_4_t1000 vs V_allFlasks_averaged	0.108956942778512	0.00264251696837295	2.09486877844169e-05
25	0.129489115985692	0.00599872890482728	7.19694969472207e-05
85	0.140883101095802	0.0023667415671173	1.12029312910417e-05
145	0.122661939763876	0.00269098476865564	1.44827980502733e-05
205	0.118388376950506	0.00752207399402084	0.000113163194343049
V_5_t1000 vs V_allFlasks_averaged	0.13196125819543	0.00135690823372504	5.52359986425238e-06
26	0.146574443092065	0.03394711162565	0.00230481277544868
86	0.191925121394483	0.0172681695027988	0.000596379355954778
146	0.174122309838742	0.0080824350605517	0.000130651513016071
206	0.181055946447388	0.0132702876147206	0.000352201066754816
V_6_t1000 vs V_allFlasks_averaged	0.17710438394748	0.00514265000800766	7.93405473145834e-05
27	0.17762534096031	0.0105185157538173	0.000221278347326604
87	0.187292038005746	0.0114403107784325	0.000261761421414237
147	0.166087460991147	6.57786210397989e-05	8.65365397179495e-09
207	0.154409251599828	0.0123087676594188	0.000303011522587109
V_7_t1000 vs V_allFlasks_averaged	0.166088279619777	5.37053144926679e-05	8.65278241426909e-09
28	0.172879856433037	0.0143592001138908	0.000412373255821523
88	0.176527894343205	0.0120790087361938	0.000291804904098093
148	0.159388397190142	0.029850917563236	0.00178215455873423
208	0.146492915514627	0.00472903273096121	4.47275011410049e-05
V_8_t1000 vs V_allFlasks_averaged	0.152546032371425	0.00340380318237596	3.47576283130582e-05
29	0.112050466511564	0.00678987207543055	9.22047256014232e-05
89	0.16391205000434	0.00632368396841258	7.99779578647164e-05
149	0.139907597440263	0.0133842089400417	0.000358274097901382
209	0.13426081593591	0.000851497631825647	1.45009643400937e-06
V_9_t1000 vs V_allFlasks_averaged	0.134464270996265	0.000682431230068327	1.39713715131771e-06
30	0.128406396771952	0.0268586866454839	0.00144277809664059
90	0.126243343931928	0.018434037532794	0.000679627479520919
150	0.139348699807031	0.0100288180806226	0.000201154384188445
210	0.14602062985546	0.0058792013644517	6.91300173675415e-05
V_10_t1000 vs V_allFlasks_averaged	0.14257283124972	0.00392825245674305	4.62935020917235e-05
31	0.0432256588714238	0.00266236668473056	1.41763927279264e-05
91	0.0293495956158876	0.00525265361679533	5.51807400360662e-05
151	0.022895673936187	0.0123310271926257	0.000304108463250548
211	0.0246869819747801	0.00291645637794652	1.70114356089299e-05
Y_1_t1000 vs Y_allFlasks_averaged	0.0338840983877447	0.00148707627237029	6.63418751954014e-06
32	0.0348760152810979	0.00852596328664072	0.000145384099930291
92	0.0339225786293911	0.00143931041216578	4.14322892513764e-06
152	-0.000873488277625819	0.00214875564336704	9.23430162980338e-06
212	-0.00574265139253316	0.00337856079916134	2.28293461472594e-05
Y_2_t1000 vs Y_allFlasks_averaged	0.0201863486973096	0.000912493298933375	2.49793206179494e-06
33	0.00878993186816409	0.00389663601742853	3.03675445046426e-05
